iter	Passed	Remaining
0	0	695
1	1	641
2	1	616
3	2	596
4	3	598
5	3	588
6	4	585
7	4	581
8	5	594
9	6	601
10	7	647
11	8	666
12	9	683
13	9	679
14	10	674
15	10	671
16	11	666
17	12	663
18	12	657
19	13	653
20	13	648
21	14	641
22	15	638
23	15	642
24	16	639
25	17	647
26	17	646
27	18	645
28	19	645
29	19	644
30	20	651
31	21	656
32	22	661
33	23	656
34	23	654
35	24	650
36	24	647
37	25	642
38	25	639
39	26	637
40	27	634
41	27	632
42	28	632
43	29	631
44	29	629
45	30	625
46	30	621
47	31	618
48	32	621
49	32	619
50	33	617
51	33	615
52	34	619
53	35	619
54	36	621
55	36	620
56	37	618
57	37	615
58	38	613
59	39	611
60	39	610
61	40	608
62	40	607
63	41	606
64	42	604
65	42	602
66	43	599
67	43	597
68	44	595
69	44	593
70	45	592
71	45	590
72	46	588
73	46	586
74	47	585
75	48	590
76	49	594
77	50	592
78	50	591
79	51	590
80	52	596
81	53	596
82	53	595
83	54	594
84	55	593
85	55	593
86	56	591
87	56	589
88	57	588
89	58	587
90	58	588
91	59	586
92	60	585
93	60	581
94	60	579
95	61	578
96	62	577
97	63	582
98	64	584
99	64	584
100	65	583
101	66	581
102	66	580
103	67	579
104	67	578
105	68	578
106	69	576
107	69	577
108	70	575
109	70	574
110	71	572
111	72	571
112	72	569
113	73	569
114	73	568
115	74	566
116	74	565
117	75	563
118	75	562
119	76	563
120	77	566
121	78	566
122	79	564
123	79	564
124	80	564
125	81	563
126	81	561
127	82	560
128	82	559
129	83	557
130	83	557
131	84	556
132	85	555
133	85	553
134	86	552
135	86	552
136	87	552
137	88	551
138	89	551
139	90	553
140	90	553
141	91	555
142	92	554
143	93	557
144	94	557
145	95	556
146	95	555
147	96	555
148	97	555
149	97	554
150	98	552
151	98	551
152	99	550
153	100	549
154	100	549
155	101	548
156	101	547
157	102	546
158	103	545
159	104	546
160	104	546
161	105	547
162	106	548
163	107	547
164	107	546
165	108	545
166	109	543
167	109	542
168	110	541
169	110	540
170	111	538
171	111	537
172	112	536
173	112	536
174	113	535
175	114	534
176	114	533
177	115	532
178	116	532
179	116	532
180	117	532
181	118	532
182	120	536
183	120	535
184	121	534
185	121	533
186	122	532
187	123	532
188	124	534
189	125	535
190	126	535
191	127	535
192	127	534
193	128	533
194	129	532
195	129	532
196	130	531
197	130	529
198	131	529
199	132	529
200	133	529
201	134	529
202	134	528
203	135	527
204	135	527
205	136	527
206	137	527
207	138	526
208	138	524
209	139	524
210	140	523
211	140	522
212	141	521
213	141	520
214	142	520
215	142	518
216	143	518
217	143	515
218	143	513
219	144	512
220	145	511
221	146	511
222	147	513
223	148	513
224	148	512
225	149	511
226	150	511
227	150	510
228	151	509
229	151	508
230	152	507
231	152	506
232	153	505
233	154	504
234	155	504
235	155	504
236	156	503
237	156	501
238	157	500
239	157	499
240	158	499
241	159	498
242	160	498
243	161	500
244	162	499
245	162	498
246	163	497
247	163	497
248	164	496
249	165	495
250	165	495
251	166	495
252	168	496
253	169	497
254	170	496
255	170	496
256	171	495
257	172	494
258	172	494
259	173	494
260	174	495
261	175	494
262	176	493
263	176	493
264	177	492
265	178	492
266	179	493
267	180	492
268	180	491
269	181	490
270	181	489
271	182	488
272	183	487
273	183	486
274	184	485
275	184	484
276	185	483
277	185	482
278	186	481
279	187	481
280	187	480
281	188	480
282	189	480
283	190	479
284	190	478
285	191	478
286	192	478
287	193	478
288	194	477
289	194	476
290	195	476
291	195	475
292	196	474
293	197	473
294	197	472
295	198	471
296	198	470
297	199	470
298	200	469
299	201	470
300	202	470
301	203	470
302	204	469
303	204	469
304	205	469
305	207	470
306	208	469
307	209	469
308	209	469
309	210	468
310	211	467
311	211	467
312	212	466
313	213	466
314	214	466
315	215	466
316	216	465
317	217	465
318	217	464
319	218	464
320	219	463
321	219	463
322	220	463
323	222	463
324	223	463
325	223	462
326	224	461
327	224	460
328	225	459
329	225	458
330	226	457
331	227	457
332	227	456
333	228	456
334	230	457
335	231	457
336	232	456
