iter	RMSE
0	15.12055435
1	14.73942314
2	14.35035586
3	13.96122454
4	13.61245523
5	13.30866263
6	12.99237221
7	12.69983168
8	12.39187267
9	12.08195346
10	11.78556446
11	11.53382783
12	11.25657834
13	10.99331243
14	10.74297806
15	10.49609082
16	10.25393742
17	10.03492471
18	9.812812719
19	9.611174385
20	9.434700083
21	9.262488455
22	9.082265376
23	8.910222529
24	8.747723308
25	8.611011164
26	8.454343343
27	8.311066095
28	8.16934809
29	8.048175035
30	7.942354956
31	7.831117755
32	7.722863841
33	7.629640383
34	7.523229159
35	7.428331933
36	7.331076521
37	7.243614063
38	7.153274291
39	7.073388442
40	6.998831048
41	6.927042242
42	6.858681452
43	6.794630758
44	6.727843426
45	6.667875728
46	6.601811232
47	6.544661159
48	6.482392804
49	6.421955992
50	6.365153277
51	6.314038882
52	6.264323396
53	6.218340317
54	6.170827716
55	6.127159813
56	6.083334291
57	6.042263581
58	6.005213703
59	5.972827979
60	5.940354019
61	5.908223945
62	5.876645921
63	5.844029396
64	5.8155919
65	5.789721206
66	5.75946066
67	5.73302862
68	5.711202523
69	5.6835132
70	5.663621947
71	5.641659349
72	5.625310814
73	5.60217634
74	5.58360432
75	5.563468102
76	5.547877347
77	5.5290544
78	5.511029212
79	5.491307111
80	5.475976599
81	5.465453147
82	5.452611198
83	5.436509377
84	5.419095989
85	5.399374182
86	5.386630609
87	5.376284218
88	5.364914177
89	5.352338194
90	5.341333318
91	5.330864823
92	5.315059539
93	5.308547697
94	5.296683033
95	5.282878765
96	5.273587229
97	5.259751761
98	5.250394499
99	5.240968846
100	5.228160281
101	5.218811226
102	5.208076674
103	5.196905724
104	5.187989242
105	5.181588316
106	5.172940984
107	5.166779114
108	5.159044113
109	5.149395711
110	5.141608114
111	5.130743662
112	5.120718483
113	5.115897981
114	5.111404633
115	5.103769959
116	5.097311183
117	5.09187603
118	5.084315247
119	5.079081859
120	5.072673471
121	5.065666851
122	5.060082952
123	5.051379996
124	5.047146181
125	5.042120685
126	5.038504273
127	5.031128591
128	5.025150849
129	5.018571573
130	5.014282717
131	5.010323691
132	5.004112855
133	5.000637491
134	4.995066569
135	4.991580907
136	4.986233607
137	4.983202985
138	4.975932814
139	4.969475927
140	4.9652757
141	4.960306594
142	4.955263117
143	4.948477041
144	4.942859816
145	4.940547109
146	4.935905055
147	4.932976084
148	4.928891865
149	4.923495967
150	4.918479172
151	4.916478339
152	4.912543739
153	4.907863936
154	4.903380339
155	4.896400486
156	4.889290254
157	4.884613974
158	4.87834125
159	4.871838005
160	4.866995459
161	4.864142484
162	4.859438669
163	4.854296203
164	4.851357748
165	4.847502227
166	4.843102589
167	4.84089741
168	4.837394471
169	4.834037822
